"","state","senators","representatives","total"
"1","alabama",0,2,7
"2","arizona",0,3,9
"3","arkansas",1,0,4
"4","california",2,19,53
"5","colorado",0,1,7
"6","connecticut",0,2,5
"7","delaware",0,0,1
"8","district of columbia",0,1,1
"9","florida",0,7,27
"10","georgia",0,0,14
"11","idaho",0,0,2
"12","illinois",0,4,18
"13","indiana",0,2,9
"14","iowa",1,0,4
"15","kansas",0,1,4
"16","kentucky",0,0,6
"17","louisiana",0,0,6
"18","maine",1,1,2
"19","maryland",1,1,8
"20","massachusetts",1,2,9
"21","michigan",1,3,14
"22","minnesota",1,1,8
"23","mississippi",0,0,4
"24","missouri",1,2,8
"25","montana",0,0,1
"26","nebraska",1,0,3
"27","nevada",0,1,4
"28","new hampshire",2,1,2
"29","new jersey",0,1,12
"30","new mexico",0,1,3
"31","new york",1,8,27
"32","north carolina",0,3,13
"33","north dakota",1,0,1
"34","ohio",0,3,16
"35","oklahoma",0,0,5
"36","oregon",0,1,5
"37","pennsylvania",0,0,18
"38","rhode island",0,0,2
"39","south carolina",0,0,7
"40","south dakota",0,1,1
"41","tennessee",0,2,9
"42","texas",0,3,36
"43","utah",0,1,4
"44","vermont",0,0,1
"45","virginia",0,1,11
"46","washington",2,3,10
"47","west virginia",1,0,3
"48","wisconsin",1,1,8
"49","wyoming",0,1,1
